date,count
200404,
200405,
200406,
200407,
200408,
200409,
200410,
200411,
200412,
200501,
200502,
200503,
200504,
200505,
200506,
200507,
200508,
200509,
200510,
200511,
200512,
200601,
200602,
200603,
200604,
200605,
200606,
200607,
200608,
200609,
200610,
200611,
200612,
200701,
200702,
200703,
200704,
200705,
200706,
200707,
200708,
200709,
200710,
200711,
200712,
200801,
200802,
200803,
200804,
200805,
200806,
200807,
200808,
200809,
200810,
200811,
200812,
200901,
200902,
200903,
200904,
200905,
200906,
200907,
200908,
200909,
200910,
200911,
200912,
201001,
201002,
201003,
201004,
201005,
201006,
201007,
201008,
201009,
201010,
201011,
201012,
201101,
201102,
201103,
201104,
201105,
201106,
201107,
201108,
201109,
201110,
201111,
201112,
201201,
201202,
201203,
201204,
201205,
201206,
201207,
201208,
201209,
201210,
201211,
201212,
201301,
201302,
201303,
201304,
201305,
201306,
201307,
201308,
201309,
201310,
201311,
201312,
201401,
201402,
201403,
201404,
201405,
201406,
201407,
201408,
201409,
201410,
201411,
201412,
201501,
201502,
201503,
201504,12
201505,21
201506,27
201507,26
201508,22
201509,11
201510,4
201511,4
201512,4
201601,2
201602,4
201603,0
201604,1
201605,9
201606,5
201607,1
201608,6
201609,3
201610,8
201611,4
201612,3
201701,4
201702,6
201703,1
201704,6
201705,1
201706,2
201707,3
201708,0
201709,4
201710,5
201711,4
201712,0
201801,2
201802,2
201803,2
201804,2
201805,3
201806,4
201807,4
201808,3
201809,0
201810,0
201811,4
201812,0
201901,1
201902,3
201903,2
201904,1
201905,0
201906,0
201907,5
201908,1
201909,0
201910,1
201911,1
201912,4
202001,1
202002,1
202003,0
202004,2
202005,2
202006,2
202007,10
202008,1
202009,5
202010,7
202011,3
202012,0
202101,1
202102,5
202103,1
202104,4
202105,1
202106,0
202107,0
202108,2
202109,2
202110,1
202111,0
202112,0
202201,0
202202,0
202203,2
202204,1
202205,1
202206,0
202207,0
202208,2
202209,0
202210,0
202211,0
202212,1
202301,0
202302,1
202303,2
202304,1
202305,1
202306,2
202307,1
202308,1
202309,0
202310,0
202311,0
202312,1
202401,1
