date,count
200404,
200405,
200406,
200407,
200408,
200409,
200410,
200411,
200412,
200501,
200502,
200503,
200504,
200505,
200506,
200507,
200508,
200509,
200510,
200511,
200512,
200601,
200602,
200603,
200604,
200605,
200606,
200607,
200608,
200609,
200610,
200611,
200612,
200701,
200702,
200703,
200704,
200705,
200706,
200707,
200708,
200709,
200710,
200711,
200712,
200801,
200802,
200803,
200804,
200805,
200806,
200807,
200808,
200809,
200810,
200811,
200812,
200901,
200902,
200903,
200904,
200905,
200906,
200907,
200908,
200909,
200910,
200911,
200912,
201001,
201002,
201003,
201004,0
201005,0
201006,2
201007,0
201008,3
201009,2
201010,4
201011,0
201012,0
201101,0
201102,3
201103,0
201104,1
201105,0
201106,0
201107,0
201108,0
201109,0
201110,1
201111,0
201112,0
201201,0
201202,1
201203,6
201204,4
201205,5
201206,2
201207,3
201208,2
201209,7
201210,1
201211,3
201212,2
201301,1
201302,1
201303,34
201304,61
201305,10
201306,0
201307,12
201308,0
201309,0
201310,5
201311,2
201312,1
201401,3
201402,0
201403,20
201404,50
201405,33
201406,5
201407,7
201408,0
201409,11
201410,1
201411,0
201412,13
201501,23
201502,1
201503,8
201504,61
201505,3
201506,7
201507,13
201508,1
201509,7
201510,5
201511,3
201512,3
201601,14
201602,39
201603,33
201604,5
201605,1
201606,5
201607,5
201608,9
201609,40
201610,59
201611,2
201612,0
201701,16
201702,58
201703,1
201704,1
201705,1
201706,1
201707,1
201708,0
201709,6
201710,6
201711,2
201712,0
201801,0
201802,1
201803,0
201804,0
201805,0
201806,0
201807,9
201808,0
201809,1
201810,2
201811,1
201812,4
201901,9
201902,4
201903,0
201904,2
201905,2
201906,6
201907,0
201908,0
201909,1
201910,4
201911,2
201912,0
202001,1
202002,18
202003,2
202004,54
202005,0
202006,16
202007,4
202008,4
202009,0
202010,5
202011,0
202012,0
202101,0
202102,1
202103,1
202104,3
202105,4
202106,1
202107,1
202108,0
202109,6
202110,12
202111,2
202112,2
202201,0
202202,1
202203,6
202204,1
202205,3
202206,3
202207,1
202208,0
202209,7
202210,0
202211,4
202212,0
202301,4
202302,3
202303,2
202304,0
202305,7
202306,1
202307,0
202308,0
202309,3
202310,1
202311,0
202312,0
202401,0
