date,count
200404,29
200405,26
200406,49
200407,31
200408,13
200409,41
200410,74
200411,79
200412,41
200501,68
200502,58
200503,85
200504,94
200505,100
200506,108
200507,79
200508,148
200509,141
200510,145
200511,177
200512,207
200601,140
200602,126
200603,107
200604,126
200605,136
200606,80
200607,82
200608,91
200609,79
200610,79
200611,74
200612,56
200701,104
200702,65
200703,87
200704,83
200705,72
200706,101
200707,214
200708,270
200709,245
200710,235
200711,204
200712,183
200801,143
200802,145
200803,204
200804,149
200805,147
200806,169
200807,149
200808,166
200809,129
200810,102
200811,83
200812,79
200901,101
200902,139
200903,148
200904,79
200905,129
200906,194
200907,263
200908,197
200909,377
200910,218
200911,186
200912,172
201001,373
201002,265
201003,367
201004,250
201005,191
201006,406
201007,283
201008,214
201009,204
201010,235
201011,273
201012,223
201101,195
201102,191
201103,210
201104,182
201105,270
201106,202
201107,157
201108,296
201109,189
201110,228
201111,224
201112,300
201201,205
201202,237
201203,312
201204,255
201205,230
201206,271
201207,283
201208,411
201209,429
201210,454
201211,523
201212,520
201301,582
201302,834
201303,814
201304,729
201305,704
201306,746
201307,861
201308,805
201309,748
201310,794
201311,727
201312,614
201401,739
201402,614
201403,636
201404,726
201405,565
201406,843
201407,745
201408,550
201409,830
201410,877
201411,768
201412,692
201501,1093
201502,899
201503,1096
201504,1069
201505,813
201506,711
201507,979
201508,554
201509,525
201510,626
201511,684
201512,743
201601,678
201602,1013
201603,1264
201604,984
201605,820
201606,755
201607,761
201608,625
201609,736
201610,1038
201611,1048
201612,797
201701,800
201702,1307
201703,970
201704,883
201705,823
201706,847
201707,725
201708,759
201709,750
201710,621
201711,576
201712,704
201801,807
201802,684
201803,712
201804,592
201805,795
201806,737
201807,687
201808,846
201809,683
201810,884
201811,780
201812,915
201901,813
201902,1044
201903,1059
201904,902
201905,943
201906,960
201907,1354
201908,1223
201909,1572
201910,1215
201911,1172
201912,1138
202001,1249
202002,1349
202003,1509
202004,1480
202005,1173
202006,1548
202007,1621
202008,1535
202009,1651
202010,1523
202011,1232
202012,1465
202101,1235
202102,1215
202103,1555
202104,1341
202105,1068
202106,1336
202107,1226
202108,1683
202109,1805
202110,1995
202111,2163
202112,2396
202201,1723
202202,1632
202203,2203
202204,2127
202205,2368
202206,3395
202207,2298
202208,2049
202209,2097
202210,2383
202211,1624
202212,1752
202301,1401 
202302,1241 
202303,1684 
202304,1500
202305,1553
202306,1551
202307,1574
202308,1856
202309,1640
202310,1774
202311,1832
202312,1838
202401,1719
202402,1596
202403,1287
202404,1541
202405,1375
202406,1260
202407,1071
202408,1167
202409,1093
202410,1286
202411,1119
202412,1192
202501,1380
