date,count
200404,225
200405,367
200406,328
200407,542
200408,497
200409,710
200410,470
200411,927
200412,506
200501,454
200502,395
200503,391
200504,289
200505,204
200506,202
200507,191
200508,259
200509,217
200510,252
200511,286
200512,289
200601,364
200602,199
200603,200
200604,229
200605,217
200606,183
200607,265
200608,212
200609,193
200610,149
200611,111
200612,139
200701,160
200702,185
200703,160
200704,193
200705,233
200706,225
200707,289
200708,217
200709,200
200710,243
200711,196
200712,211
200801,194
200802,148
200803,203
200804,192
200805,203
200806,189
200807,347
200808,775
200809,226
200810,192
200811,189
200812,181
200901,207
200902,183
200903,174
200904,225
200905,337
200906,635
200907,912
200908,948
200909,1123
200910,772
200911,686
200912,590
201001,675
201002,805
201003,1008
201004,1421
201005,837
201006,855
201007,739
201008,872
201009,830
201010,1003
201011,758
201012,614
201101,587
201102,553
201103,796
201104,532
201105,564
201106,471
201107,574
201108,687
201109,457
201110,472
201111,846
201112,1183
201201,837
201202,812
201203,1050
201204,1275
201205,1666
201206,1131
201207,2348
201208,1874
201209,1208
201210,1518
201211,1541
201212,2005
201301,1919
201302,1847
201303,1687
201304,1606
201305,3163
201306,4617
201307,4180
201308,2779
201309,3136
201310,1479
201311,1621
201312,1712
201401,1606
201402,1409
201403,1883
201404,1561
201405,1447
201406,1509
201407,1494
201408,1347
201409,1797
201410,1607
201411,1957
201412,2667
201501,2981
201502,1939
201503,1949
201504,2098
201505,1609
201506,1480
201507,1543
201508,1215
201509,1370
201510,1061
201511,1201
201512,1178
201601,1176
201602,1405
201603,2006
201604,1891
201605,1488
201606,1307
201607,908
201608,1192
201609,1037
201610,1150
201611,1273
201612,1613
201701,1360
201702,1253
201703,1482
201704,1333
201705,1380
201706,2512
201707,1698
201708,1473
201709,1429
201710,1460
201711,1596
201712,1474
201801,1339
201802,1170
201803,1277
201804,1177
201805,1466
201806,1172
201807,1305
201808,1235
201809,1368
201810,1530
201811,1468
201812,1244
201901,1536
201902,1349
201903,1548
201904,1274
201905,1299
201906,1257
201907,1701
201908,1353
201909,1564
201910,1684
201911,1708
201912,1797
202001,1788
202002,1775
202003,2947
202004,3105
202005,3256
202006,4055
202007,4034
202008,4324
202009,5473
202010,4517
202011,3684
202012,4865
202101,4237
202102,2727
202103,2665
202104,3036
202105,3149
202106,4089
202107,4269
202108,4453
202109,3747
202110,2834
202111,4170
202112,4866
202201,5306
202202,5822
202203,5060
202204,4611
202205,5431
202206,6672
202207,4655
202208,4400
202209,4509
202210,4165
202211,4243
202212,3515
202301,3713
202302,4256
202303,3751
202304,3449
202305,6623
202306,16836
202307,8536
202308,4536
202309,3696
