data,count
200404,3
200405,13
200406,6
200407,4
200408,3
200409,2
200410,1
200411,2
200412,1
200501,4
200502,8
200503,5
200504,13
200505,18
200506,7
200507,1
200508,5
200509,1
200510,19
200511,5
200512,12
200601,153
200602,22
200603,17
200604,47
200605,44
200606,55
200607,142
200608,87
200609,85
200610,36
200611,32
200612,27
200701,31
200702,31
200703,30
200704,84
200705,100
200706,106
200707,128
200708,60
200709,51
200710,60
200711,58
200712,52
200801,62
200802,55
200803,64
200804,65
200805,56
200806,98
200807,336
200808,702
200809,123
200810,88
200811,97
200812,108
200901,107
200902,91
200903,105
200904,82
200905,74
200906,75
200907,59
200908,59
200909,69
200910,50
200911,42
200912,52
201001,60
201002,96
201003,123
201004,118
201005,136
201006,153
201007,150
201008,152
201009,157
201010,113
201011,26
201012,58
201101,55
201102,36
201103,64
201104,29
201105,46
201106,48
201107,42
201108,48
201109,23
201110,8
201111,52
201112,45
201201,10
201202,16
201203,51
201204,215
201205,425
201206,185
201207,143
201208,211
201209,238
201210,303
201211,342
201212,538
201301,562
201302,478
201303,395
201304,239
201305,970
201306,663
201307,366
201308,678
201309,1170
201310,123
201311,416
201312,246
201401,254
201402,148
201403,116
201404,197
201405,200
201406,338
201407,146
201408,225
201409,389
201410,179
201411,115
201412,204
201501,306
201502,359
201503,285
201504,116
201505,91
201506,67
201507,352
201508,36
201509,62
201510,50
201511,69
201512,105
201601,94
201602,107
201603,172
201604,141
201605,143
201606,58
201607,74
201608,90
201609,112
201610,73
201611,96
201612,91
201701,144
201702,242
201703,224
201704,206
201705,181
201706,236
201707,262
201708,260
201709,345
201710,432
201711,607
201712,451
201801,293
201802,197
201803,253
201804,205
201805,198
201806,305
201807,188
201808,137
201809,279
201810,376
201811,330
201812,217
201901,227
201902,218
201903,225
201904,174
201905,179
201906,138
201907,165
201908,121
201909,551
201910,102
201911,165
201912,165
202001,256
202002,127
202003,109
202004,115
202005,147
202006,117
202007,146
202008,140
202009,319
202010,308
202011,109
202012,168
202101,181
202102,265
202103,317
202104,154
202105,129
202106,166
202107,211
202108,124
202109,139
202110,96
202111,80
202112,166
202201,104
202202,129
202203,139
202204,65
202205,87
202206,103
202207,140
202208,87
202209,88
202210,89
202211,137
202212,173
202301,135
202302,79
202303,105
