data,count
200404,206
200405,341
200406,312
200407,532
200408,486
200409,640
200410,461
200411,910
200412,493
200501,431
200502,366
200503,363
200504,252
200505,159
200506,164
200507,165
200508,227
200509,186
200510,218
200511,260
200512,229
200601,199
200602,145
200603,157
200604,134
200605,117
200606,89
200607,68
200608,86
200609,65
200610,57
200611,57
200612,78
200701,81
200702,57
200703,77
200704,77
200705,86
200706,75
200707,140
200708,234
200709,201
200710,222
200711,207
200712,154
200801,112
200802,49
200803,139
200804,130
200805,98
200806,122
200807,51
200808,54
200809,56
200810,30
200811,49
200812,69
200901,49
200902,58
200903,64
200904,91
200905,72
200906,115
200907,104
200908,76
200909,289
200910,90
200911,93
200912,45
201001,50
201002,107
201003,165
201004,126
201005,93
201006,130
201007,99
201008,115
201009,278
201010,491
201011,379
201012,258
201101,217
201102,169
201103,533
201104,325
201105,320
201106,313
201107,429
201108,398
201109,252
201110,267
201111,538
201112,819
201201,593
201202,504
201203,726
201204,769
201205,819
201206,693
201207,1563
201208,1270
201209,558
201210,833
201211,858
201212,1103
201301,845
201302,634
201303,900
201304,904
201305,1237
201306,2488
201307,1556
201308,720
201309,383
201310,471
201311,661
201312,428
201401,417
201402,567
201403,735
201404,558
201405,534
201406,519
201407,636
201408,563
201409,749
201410,738
201411,1130
201412,1724
201501,1252
201502,885
201503,843
201504,976
201505,823
201506,643
201507,751
201508,534
201509,700
201510,509
201511,580
201512,437
201601,374
201602,457
201603,823
201604,445
201605,576
201606,499
201607,371
201608,412
201609,315
201610,709
201611,679
201612,789
201701,869
201702,682
201703,840
201704,751
201705,812
201706,1884
201707,1097
201708,827
201709,630
201710,668
201711,687
201712,624
201801,684
201802,618
201803,543
201804,481
201805,596
201806,178
201807,346
201808,463
201809,353
201810,667
201811,433
201812,577
201901,838
201902,587
201903,740
201904,501
201905,304
201906,411
201907,360
201908,314
201909,253
201910,226
201911,282
201912,236
202001,261
202002,187
202003,265
202004,348
202005,286
202006,348
202007,392
202008,477
202009,511
202010,381
202011,312
202012,393
202101,305
202102,339
202103,441
202104,561
202105,430
202106,394
202107,414
202108,454
202109,423
202110,297
202111,372
202112,342
202201,370
202202,474
202203,330
202204,349
202205,783
202206,2483
202207,859
202208,551
202209,507
202210,443
202211,339
202212,384
202301,905
202302,789
202303,365
202304,251
202305,418
202306,329
202307,229
202308,238
202309,172
