data,count
200404,4
200405,1
200406,1
200407,0
200408,1
200409,1
200410,0
200411,1
200412,0
200501,1
200502,0
200503,2
200504,2
200505,3
200506,1
200507,3
200508,3
200509,5
200510,1
200511,1
200512,0
200601,4
200602,1
200603,1
200604,0
200605,0
200606,8
200607,0
200608,1
200609,0
200610,1
200611,1
200612,0
200701,1
200702,0
200703,3
200704,0
200705,0
200706,0
200707,3
200708,0
200709,0
200710,1
200711,0
200712,1
200801,1
200802,0
200803,9
200804,3
200805,9
200806,6
200807,7
200808,1
200809,3
200810,3
200811,4
200812,5
200901,22
200902,2
200903,2
200904,12
200905,57
200906,5
200907,20
200908,1
200909,7
200910,204
200911,79
200912,89
201001,385
201002,221
201003,203
201004,205
201005,108
201006,248
201007,85
201008,162
201009,106
201010,117
201011,35
201012,47
201101,17
201102,12
201103,20
201104,6
201105,10
201106,18
201107,14
201108,28
201109,31
201110,46
201111,65
201112,53
201201,22
201202,80
201203,40
201204,26
201205,44
201206,69
201207,370
201208,215
201209,211
201210,216
201211,315
201212,206
201301,325
201302,496
201303,363
201304,314
201305,505
201306,1028
201307,1106
201308,687
201309,981
201310,627
201311,363
201312,614
201401,663
201402,258
201403,580
201404,364
201405,407
201406,352
201407,388
201408,187
201409,393
201410,321
201411,220
201412,240
201501,247
201502,256
201503,289
201504,209
201505,175
201506,265
201507,244
201508,133
201509,215
201510,273
201511,292
201512,261
201601,283
201602,519
201603,466
201604,623
201605,186
201606,256
201607,236
201608,158
201609,160
201610,180
201611,314
201612,194
201701,143
201702,590
201703,234
201704,138
201705,155
201706,168
201707,75
201708,86
201709,93
201710,111
201711,69
201712,96
201801,122
201802,77
201803,69
201804,103
201805,105
201806,112
201807,64
201808,66
201809,95
201810,96
201811,53
201812,93
201901,43
201902,126
201903,60
201904,77
201905,110
201906,69
201907,83
201908,62
201909,91
201910,108
201911,121
201912,63
202001,49
202002,70
202003,73
202004,50
202005,95
202006,146
202007,179
202008,91
202009,104
202010,198
202011,135
202012,71
202101,130
202102,70
202103,82
202104,65
202105,79
202106,107
202107,173
202108,244
202109,162
202110,148
202111,324
202112,434
202201,164
202202,250
202203,289
202204,202
202205,151
202206,204
202207,140
202208,192
202209,363
202210,253
202211,94
202212,80
202301,51
202302,121
202303,190
202304,104
202305,165
202306,42
202307,71
202308,32
202309,21
